월별,기간,전체,반도체,철강제품,승용차,석유제품,무선통신기기,선박,자동차부품,컴퓨터주변기기,정밀기기,가전제품
202103,01~31,53690914,9711666,4153911,4201058,2783163,1912330,2312452,2095282,1193894,1162624,706532
202104,01~10,14896402,2574540,1167799,1061151,736992,739550,324956,625282,249528,333221,213984
202104,01~20,31026874,5485499,2484108,2227183,1777454,1381318,996645,1196512,564693,666973,451929
202104,01~30,51225991,9516174,4184319,3975318,2974647,2062663,1158623,1953874,1050254,1077834,730147
202105,01~10,12471926,2525855,976568,753012,660132,633290,411252,444524,200658,256746,213330
202105,01~20,31111855,5822198,2572691,1893730,1824014,1321484,926168,1162251,665362,638021,488115
202105,01~31,50725161,10260720,4231339,3322196,3127999,1917326,1314529,1755162,1220535,1026777,746839
202106,01~10,17261364,3140821,1460734,968885,965297,683575,547942,698710,311507,378237,261754
202106,01~20,32368528,6235696,2746054,2092876,1888880,1282311,858568,1211648,635716,683993,454139
202106,01~30,54778905,11359169,4563557,3846118,3066694,1930454,1896918,1886444,1386692,1103699,724713
202107,01~10,15067806,2619000,1209648,1092703,1099649,639536,267774,595577,241785,322449,269626
202107,01~20,32522073,5884166,2741510,2338078,2248605,1305580,1098560,1153996,586447,651759,498422
202107,01~31,55461518,11203191,4620559,3888586,3670499,2009290,1908411,1927077,1415236,1073653,788392
202108,01~10,12734452,3151710,984594,144604,812227,685101,38861,311841,293283,287014,136581
202108,01~20,32173134,6779227,2745588,1446639,2022249,1423565,584756,949478,757790,683943,413760
202108,01~31,53165104,11898826,4454150,2863877,3122421,2207421,1600931,1518929,1581329,1119960,671436
202109,01~10,19481599,3226675,1643375,1299853,1508224,807625,402027,723777,394277,485685,275196
202109,01~20,36114119,6664492,3082515,2373097,2507533,1642039,508107,1273779,838393,829258,478374
202109,01~30,55913862,12375886,4754873,3395841,3627056,2405181,977972,1779617,1797734,1238141,683852
202110,01~10,14781281,2803547,1256123,896794,1323028,753526,287949,444218,251934,323184,203224
202110,01~20,34296898,6393621,2900758,2007633,2616675,1525835,1409225,1052915,611389,746403,468444
202110,01~31,55660373,11387012,4612785,3655070,4143569,2248571,1485588,1726050,1385185,1188546,727345
202111,01~10,18219156,3776683,1424842,1106809,1206221,806806,232072,578255,386882,426606,261800
202111,01~20,39801144,7480706,3033013,2450609,2647477,1720707,3127359,1199654,840989,831894,505503
202111,01~30,60330542,12251805,4728572,3926337,4033437,2429169,3477774,1770837,1680779,1233398,745999
202112,01~10,19462154,3638412,1599332,988398,1237783,885480,466928,715364,397990,442283,254172
202112,01~20,36887008,7371529,3138526,2024498,2294546,1610635,761347,1254424,881446,812255,467046
202112,01~31,60734117,13014460,5138997,4053649,3923110,2303341,1339967,2038539,1543449,1242750,735376
202201,01~10,13982440,2903640,1149117,839781,1010409,390920,320332,503068,209528,339711,318329
202201,01~20,34553673,6712707,3021347,2327894,2359567,983621,469446,1233100,743590,755546,754397
202201,01~31,55455376,11015776,5059390,3924053,3724347,1663907,724661,1974136,1527729,1153749,1176873
202202,01~10,15747782,3298815,1262209,652796,1358897,472113,457935,512231,377410,347243,332477
202202,01~20,34336310,6775940,2707761,2144345,2678587,1136511,1071617,1098310,924084,749930,693226
202202,01~28,54155835,10545025,4664288,3631862,4209060,1664385,1704024,1726005,1628901,1145870,1040601
202203,01~10,18838928,3846212,1549276,725828,1847642,586415,252389,711200,466478,409512,375851
202203,01~20,37467375,7819558,3000057,2036335,3283270,1427183,695294,1252943,1029633,795453,711120
202203,01~31,63786835,13297573,5075646,3782908,5552821,2241883,1454394,2111612,1875292,1312612,1176426
202204,01~10,15355040,2940567,1221736,921303,1495364,663130,260795,472646,304931,308573,298860
202204,01~20,36368152,6741747,3128435,2203448,3354034,1233298,661110,1241963,754573,706232,715695
202204,01~30,57842816,11000265,5065473,4191342,5201649,1832280,951101,1888966,1804001,1077163,1062869
202205,01~10,16107911,2798281,1233404,596003,2435632,460916,395873,505821,337123,295649,311456
202205,01~20,38645593,6607586,3216328,2223613,4541567,1039777,1189502,1258155,976701,707851,700474
202205,01~31,61591326,11716680,5144964,3908749,6560055,1492113,1924034,1894156,1800048,1082068,1065338
202206,01~10,15083505,3165137,1213786,623559,1920452,495399,388233,494981,286224,271072,214921
202206,01~20,31251473,6356781,2574703,1600389,3673718,984612,704234,1032905,559901,572428,462233
202206,01~30,57679934,12584790,4794575,3726499,5613644,1658342,1210207,1837424,1694572,995090,783308
202207,01~10,15568067,2891700,1180478,1157183,1991588,609376,379583,509770,207073,256298,196327
202207,01~20,36845479,6657292,2870562,2684688,4440259,1145973,1117396,1274750,515256,634493,458347
202207,01~31,60241774,11486116,4687672,4907226,6428872,1687164,2476499,1977865,1203497,1008347,709011
202208,01~10,15608383,2990284,1245951,420925,2213856,563974,76083,399339,238223,314139,255219
202208,01~20,33355057,6271259,2725596,1763247,4252366,1073360,668009,1028350,510464,674654,452180
202208,01~31,56605950,11067131,4577755,3954946,6671348,1601817,1134136,1747597,1257613,1103321,750592
202209,01~10,16130192,3481612,1026160,1062287,1616585,615336,142659,608979,311354,352036,175381
202209,01~20,32755635,6898313,2100043,2189756,3329216,1216095,667477,1116733,624220,704912,389021
202209,01~30,57176300,11772503,3964009,4574495,5292847,1918478,1158512,1955883,1507736,1233422,640647
202210,01~10,11784731,2226543,795605,944714,1049593,595140,508150,380814,159490,289542,142319
202210,01~20,32352884,5572560,2388769,2647824,3121861,1287675,990900,1155271,426782,710984,386425
202210,01~31,52428092,9515297,4014704,4716609,4500682,1971231,1343085,1793371,1008583,1128689,565207
202211,01~10,17673191,2760437,1272157,1456382,1964244,700334,384302,673774,282976,355502,197671
202211,01~20,33073391,5284029,2467521,3131728,3041060,1365563,895494,1184300,485965,647964,342231
202211,01~30,51771855,8743404,4189712,5160253,4854931,1940223,1059596,1788629,951549,999407,497155
202212,01~10,15292360,2633211,989605,1398933,1439234,472928,491887,548660,219805,319847,143440
202212,01~20,33526222,5585861,2569383,2932268,2854999,905767,983783,1210756,498168,719023,357131
202212,01~31,54848666,9401737,4084832,5201391,4708403,1338272,2448538,1920387,1117778,1094999,528852
202301,01~10,13886115,2047010,1003783,1273254,1308812,560338,353774,509294,186809,299272,158135
202301,01~20,33668056,4427339,2665599,3389523,2882038,1150042,1015508,1308750,409780,679296,395974
202301,01~31,46339145,6236188,3844257,4796499,4253006,1479275,1397147,1676651,605545,892949,540195
202302,01~10,17572590,1957190,1367473,1739292,1737184,432332,475796,725182,205089,345676,222948
202302,01~20,33332355,3803005,2690650,3355625,3073809,851246,1307243,1344975,411062,630337,429479
202302,01~28,49994593,6167225,4228524,5369418,4639290,1144405,1482106,1955291,635158,934625,632437
202303,01~10,15637051,2259206,1323991,1694810,1422304,399369,155911,626160,192261,310940,207223
202303,01~20,30696039,4323297,2595414,3448594,2856549,844768,270295,1194742,402919,588485,386664
202303,01~31,54882484,8796319,4510763,6251042,4523433,1337645,985497,1991874,815049,1016612,650394
202304,01~10,13521988,1769026,1031292,1511785,1192991,405876,631396,503252,141998,226753,161414
202304,01~20,32252925,4089065,2711356,3481387,2452238,919598,1335039,1238700,359003,576752,416482
202304,01~30,49430879,6537687,4247108,5906031,3703130,1359188,1546174,1856093,559462,861199,615905
202305,01~10,14433318,1974307,1169887,1342220,1418268,466314,200479,545220,296587,265564,201327
202305,01~20,32272483,4257659,2961393,3431893,2941973,1031151,461804,1220186,514521,560059,442653
202305,01~31,52054195,7550349,4700526,5974136,4285583,1497770,937981,1876797,786864,881624,656478
202306,01~10,15298064,2178188,1113922,1478929,1250739,523711,1064070,578387,222252,264535,169089
202306,01~20,32936268,4861976,2579252,3363760,2381625,977568,1800388,1186913,478353,555330,468620
202306,01~30,54297754,9057613,4632836,5988307,3380451,1381129,2431547,1916500,825165,911013,717105
202307,01~10,13258526,1827212,1008140,1448399,1020014,444313,605949,523564,291553,240046,171420
202307,01~20,31275665,4303084,2426893,3430773,2387796,987246,1036848,1258253,601739,583609,452156
202307,01~31,50457776,7603652,4099313,5678889,3908575,1656773,1601409,1974101,821915,903234,753441
202308,01~10,13259501,2449188,963784,534281,1463558,540183,177898,385180,187765,274073,206792
202308,01~20,27939623,4721096,2162935,2117415,2620608,1136161,997890,936922,340080,515584,389593
202308,01~31,51994074,8721670,4052257,5066248,4493760,1814156,1500919,1834908,630401,969486,726495
202309,01~10,14906293,2500647,1063808,1403510,1436560,650003,219946,516292,166586,293633,200920
202309,01~20,35968700,5928978,2628876,3262194,2997891,1262291,1152242,1301054,435260,684846,528487
202309,01~30,54650691,10058864,3997324,4986770,4948551,1878436,1276528,1880018,741108,1021259,754352
202310,01~10,11495533,2106581,735482,1078963,1480258,570755,247196,323670,182058,217387,153392
202310,01~20,33739771,5215242,2372323,3298181,3503786,1366428,1617219,1045964,440823,622777,447645
202310,01~31,54989950,9061404,3809956,5705540,5212322,2148541,2751456,1701366,722284,985390,696316
202311,01~10,18129507,2795594,1198697,1997799,1715690,728765,126280,629858,233160,406379,230047
202311,01~20,33647826,5410257,2234803,3761958,2959778,1366981,635189,1140622,425130,684662,428872
202311,01~30,55561090,9688869,3845882,6341506,4529005,1970203,1380822,1841477,713520,1061265,716326
202312,01~10,15633586,2527469,986926,1583328,1350959,557667,1105233,463633,195464,308368,171480
202312,01~20,37729966,6656218,2498976,3739452,3088796,1009384,2466779,1142842,451133,706849,469200
202312,01~31,57573193,11192340,3861379,6196407,4514938,1325633,3523654,1712154,791998,1001780,636298
202401,01~10,15422243,2571669,1063288,1297173,1604041,437098,993895,508896,217458,292047,161935
202401,01~20,33319854,5297202,2467132,3472991,2904876,871535,1919785,1099700,509244,598458,427317
202401,01~31,54709823,9529970,4038358,5985821,4835458,1262803,2457555,1830200,804623,961706,734908
202402,01~10,14757600,2782701,1041104,1108032,1398748,374575,58628,628455,203335,260804,224325
202402,01~20,30436349,5286142,2233463,2570010,2902843,772717,848631,1122644,404455,513025,456453
202402,01~29,52076390,10051003,3855480,4926226,4472387,1252575,1645263,1880966,749509,865522,716519
202403,01~10,13481826,2750362,915141,1135906,1010248,387940,787437,472652,204456,233812,179889
202403,01~20,34008930,6335694,2556703,3181426,2842956,845137,1237534,1257285,535580,586117,461653
202403,01~31,56518309,11828220,4088495,5895260,4684902,1302894,2010119,1843098,1023607,913231,737465
202404,01~10,16351815,2572297,1247392,1640356,1359830,448641,81586,640044,259251,307619,276639
202404,01~20,35745087,5845510,2644750,3925128,2825625,919798,1114562,1226422,574259,609527,534008
202404,01~30,56148299,10098828,4043924,6571649,4367812,1319708,1595345,1865845,896911,942337,807984
202405,01~10,16844225,3000345,1297926,1461719,1571089,514744,686723,531534,362018,325464,226564
202405,01~20,32744481,6194388,2404996,3288392,2924832,937923,1281921,1008812,642059,535755,441752
202405,01~31,58020557,11548564,4187795,6292123,4555694,1557773,2048236,1749614,1183022,956457,747199
202406,01~10,14683823,2974252,980464,1199200,1395778,518259,725916,432335,186584,225111,202936
202406,01~20,35696916,7274456,2451977,3349374,2567126,1074610,1066905,1160835,588047,566999,480657
202406,01~30,57341634,13617989,3802935,6018509,3721189,1570229,1412705,1685582,1286149,865675,717811
202407,01~10,17723084,3392657,1245727,1589141,1424865,476568,378636,686209,250712,271316,252465
202407,01~20,36881422,6774622,2642261,3491826,3050268,973634,527921,1271812,667075,563224,506242
202407,01~31,57458788,11413079,4164877,5168203,4521513,1489947,988217,1995921,1340198,872338,802783
202408,01~10,15369466,3478623,1063847,875451,1517540,542079,619461,403559,300838,244633,216615
202408,01~20,33003156,6726551,2286044,2278060,2863981,1125303,1790615,1029232,670859,513996,390489
202408,01~31,57642924,12061638,4035867,4876018,4416588,1784600,2730852,1775009,1640029,914610,675842
202409,01~10,18470294,3469509,1271192,1582684,1487601,634417,579392,643234,314928,326225,222775
202409,01~20,35354624,7472921,2362523,2975256,2804007,1210188,1029714,1127614,763757,610698,400679
202409,01~30,58544693,13751072,3908378,5302123,4038055,1750910,2237197,1742391,1681512,988484,601200
202410,01~10,15298567,3064714,1070140,1380222,1142189,515318,907010,512435,197305,264330,187531
202410,01~20,32711578,7097664,2238009,3184806,2112065,1070089,1359068,1024100,509724,548267,367237
202410,01~31,57500192,12670057,4074297,6004017,3434887,1691457,1958620,1814224,1095272,981203,653883
202411,01~10,14872900,3279955,1009766,1326421,1152318,590161,601506,454584,253148,259190,160786
202411,01~20,35559900,7711150,2480112,3096549,2656318,1199964,1128325,1136715,737302,594781,355286
202411,01~30,56288629,12578985,3872988,5449951,3694379,1638511,2435682,1694134,1490034,932883,566892
202412,01~10,17541285,3613270,1175688,1444340,1229316,505990,1083986,570762,291192,296492,196808
202412,01~20,40285842,8211201,2787902,3726732,2661446,1028518,1867912,1240474,809087,700002,477061
202412,01~31,61359250,14619210,4093382,5833631,4000311,1319215,2981019,1803834,1639594,976061,606962
202501,01~10,15918926,3183772,1200349,1352570,883329,335369,1056787,474471,203270,272982,200275
202501,01~20,31633210,6307186,2388604,3213179,2092175,707985,1621617,985609,456252,518310,404078
202501,01~31,49176984,10218918,3731804,4828883,3480879,1008827,2396385,1515262,931936,756434,564601
202502,01~10,14811188,2832428,947107,1384207,1086454,446569,934921,457219,242978,270530,149065
202502,01~20,35228231,6455746,2486991,3604913,2624725,839548,1058665,1223908,585809,648037,388397
202502,01~28,52292301,9795611,3778184,5848945,3908568,1145297,1472970,1808863,963189,934408,603499
202503,01~10,13798090,2750586,833473,1205666,987011,451641,1222229,436837,173185,216006,146652
202503,01~20,35436582,7070184,2274120,3297757,2114983,946188,2227638,1182877,603470,583409,355099
202503,01~31,58064562,13196760,3874596,6011597,3324448,1392090,3062292,1793278,1348200,900999,567422
202504,01~10,18444823,3394493,1298966,1830140,1264689,490722,643529,706082,222733,323956,214993
202504,01~20,33718845,6471961,2404359,3662348,2146809,914781,1008645,1203792,440859,573607,374316
202504,01~30,58035745,11803393,4360393,6298092,3696099,1402528,1845260,1963757,829446,942102,659422
202505,01~10,12824191,3417924,761170,1121561,995574,396598,632597,304651,236742,198223,119640
202505,01~20,31953120,7265549,2115130,3077966,2212067,881997,1289371,901198,604528,520396,353986
202505,01~31,57261063,13929723,3789307,5939575,3646694,1388196,2166226,1602541,1244659,861826,591566
202506,01~10,15400571,3619434,945477,1294923,1146079,294700,892638,484126,258238,227935,141520
202506,01~20,38659030,8846348,2484227,3653575,2644141,718611,1583188,1221088,779684,586333,354543
202506,01~30,59833797,15138595,3694192,5995652,3785438,981636,2332840,1715525,1459274,889037,544959
202507,01~10,19385119,3824839,1296503,1796507,1427336,407667,881731,699035,283786,294732,202251
202507,01~20,36058354,7880336,2382438,3626578,2557351,805963,1432700,1163635,614378,527081,400268
202507,01~31,60724322,14900808,4188696,5492658,4271110,1356219,2115617,1825083,1112993,893140,702744
202508,01~10,14646230,3896567,863210,948921,1208499,517507,1125793,350911,245274,222673,124222
202508,01~20,35394043,8712461,2180914,2769818,2710881,995037,2313910,996067,665826,522878,317711
202508,01~31,58259332,15299467,3560149,5212759,4173194,1588463,2978223,1582444,1373278,874037,514282
202509,01~10,19154390,4453532,1235279,1552382,1191055,597549,896530,655774,328598,358328,198831
202509,01~20,40050000,9495449,2511412,3418359,2714051,1250165,1501289,1209270,810182,683501,405054
202509,01~30,65904118,16793796,4010790,6042273,4241471,1843236,2770339,1826428,1451348,1070757,628772
202510,01~10,12925797,4502158,726572,664405,1207142,366146,787768,260805,163100,152855,89146
202510,01~20,30003320,8532873,1814795,2383057,2346221,880195,1516205,701779,464097,416475,267555
202510,01~31,59511578,15861970,3497302,5246367,3871514,1544872,4621065,1432872,1133567,845434,511663
202511,01~10,15794269,3857254,863811,1541069,1002173,465312,655543,421667,309735,245204,147176
202511,01~20,38419340,9752081,2249573,3803397,2150055,1022831,1158010,1043984,851386,614705,338673
202511,01~30,60752618,17442597,3480452,6043663,3313953,1538658,1726991,1477229,1530127,925587,495173
202512,01~10,20539795,5271795,1198581,1358660,1489405,632941,562190,575305,481667,361743,184333
202512,01~20,42971602,11645487,2572088,3250935,2593436,1211443,1460197,1176743,1203954,756296,399382
202512,01~31,69513624,20917832,4021349,5587815,4216318,1636225,2890840,1730319,2179775,1079049,557783
202601,01~10,15572268,4636494,977224,1017258,1020391,450083,918516,381916,256207,239475,99953
202601,01~20,36349236,10731563,2415997,2862944,2486051,1044521,1324470,869105,641210,524068,277187
202601,01~31,65842410,20687641,4071480,5743786,3796710,1913471,2360600,1541621,1696480,884574,561024
202602,01~10,21398553,6728639,1226646,1347365,1557043,570604,665638,519787,462055,293655,202604
202602,01~20,43606354,15110567,2532417,2643487,3046047,1030904,1301485,971227,1342466,525855,372664
202602,01~28,67558449,25253891,3679288,4503254,4047771,1403487,2145153,1368415,2731406,774607,526408
202603,01~10,21971525,7588184,1088699,1371618,1904894,454120,465459,489398,815034,267097,167446
202603,01~20,54199698,18657127,2765934,3659639,4052630,1068240,2143259,1183235,2226017,613300,397366
202603,01~31,87211190,32973533,4108287,6078866,6172111,1573470,3413489,1695483,3602079,942353,620164
202604,01~10,25188232,8572675,1446980,1707398,1749633,568762,814998,654329,523284,318035,159062
202604,01~20,50362882,18285576,2609328,3143602,3196553,1024608,1772918,1097855,2199637,545535,311976
202604,01~30,85867478,32040024,4334772,5845990,5152142,1479271,2765275,1796681,4241060,922387,537950
202605,01~10,18434431,8539241,736926,830302,1019729,422015,261882,291676,1143020,171179,108110
202605,01~20,52651782,21951053,2417986,2766765,3236577,984282,1419962,951364,2451470,532478,331705
202605,01~31,87746912,37285276,4043387,5492695,5286793,1504035,2508596,1538082,4348723,839246,580402